SKU,Name,Type,Variation_Name,Category,Target_Price,Image
BBC2-36,Snake Chain (Thick),VARIATION,36 inch,Chain Necklaces,49,https://i.etsystatic.com/21625319/r/il/82dc94/3525688517/il_340x270.3525688517_ato9.jpg
BBC3-14,Box Chain (Fine),VARIATION,14 inch,Chain Necklaces,10,https://i.etsystatic.com/21625319/r/il/798a1f/3862894823/il_340x270.3862894823_3bxz.jpg
BBC3-16,Box Chain (Fine),VARIATION,16 inch,Chain Necklaces,12,https://i.etsystatic.com/21625319/r/il/798a1f/3862894823/il_340x270.3862894823_3bxz.jpg
BBC3-18,Box Chain (Fine),VARIATION,18 inch,Chain Necklaces,14,https://i.etsystatic.com/21625319/r/il/798a1f/3862894823/il_340x270.3862894823_3bxz.jpg
BBC3-20,Box Chain (Fine),VARIATION,20 inch,Chain Necklaces,16,https://i.etsystatic.com/21625319/r/il/798a1f/3862894823/il_340x270.3862894823_3bxz.jpg
BBC3-22,Box Chain (Fine),VARIATION,22 inch,Chain Necklaces,18,https://i.etsystatic.com/21625319/r/il/798a1f/3862894823/il_340x270.3862894823_3bxz.jpg
BBC3-24,Box Chain (Fine),VARIATION,24 inch,Chain Necklaces,20,https://i.etsystatic.com/21625319/r/il/798a1f/3862894823/il_340x270.3862894823_3bxz.jpg
BBC3-30,Box Chain (Fine),VARIATION,30 inch,Chain Necklaces,22,https://i.etsystatic.com/21625319/r/il/798a1f/3862894823/il_340x270.3862894823_3bxz.jpg
BBC3-36,Box Chain (Fine),VARIATION,36 inch,Chain Necklaces,24,https://i.etsystatic.com/21625319/r/il/798a1f/3862894823/il_340x270.3862894823_3bxz.jpg
BBC4-16,Box Chain (Thick),VARIATION,16 inch,Chain Necklaces,22,https://i.etsystatic.com/21625319/r/il/798a1f/3862894823/il_340x270.3862894823_3bxz.jpg
BBC4-18,Box Chain (Thick),VARIATION,18 inch,Chain Necklaces,24,https://i.etsystatic.com/21625319/r/il/798a1f/3862894823/il_340x270.3862894823_3bxz.jpg
BBC4-20,Box Chain (Thick),VARIATION,20 inch,Chain Necklaces,26,https://i.etsystatic.com/21625319/r/il/798a1f/3862894823/il_340x270.3862894823_3bxz.jpg
BBC4-22,Box Chain (Thick),VARIATION,22 inch,Chain Necklaces,28,https://i.etsystatic.com/21625319/r/il/798a1f/3862894823/il_340x270.3862894823_3bxz.jpg
BBC4-24,Box Chain (Thick),VARIATION,24 inch,Chain Necklaces,30,https://i.etsystatic.com/21625319/r/il/798a1f/3862894823/il_340x270.3862894823_3bxz.jpg
BBC4-30,Box Chain (Thick),VARIATION,30 inch,Chain Necklaces,35,https://i.etsystatic.com/21625319/r/il/798a1f/3862894823/il_340x270.3862894823_3bxz.jpg
BBC4-36,Box Chain (Thick),VARIATION,36 inch,Chain Necklaces,39,https://i.etsystatic.com/21625319/r/il/798a1f/3862894823/il_340x270.3862894823_3bxz.jpg
BBC5-16,Rope Chain,VARIATION,16 inch,Chain Necklaces,22,https://i.etsystatic.com/21625319/c/1111/883/0/113/il/15d837/3515430949/il_340x270.3515430949_8q36.jpg
BBC5-18,Rope Chain,VARIATION,18 inch,Chain Necklaces,24,https://i.etsystatic.com/21625319/c/1111/883/0/113/il/15d837/3515430949/il_340x270.3515430949_8q36.jpg
BBC5-20,Rope Chain,VARIATION,20 inch,Chain Necklaces,26,https://i.etsystatic.com/21625319/c/1111/883/0/113/il/15d837/3515430949/il_340x270.3515430949_8q36.jpg
BBC5-22,Rope Chain,VARIATION,22 inch,Chain Necklaces,28,https://i.etsystatic.com/21625319/c/1111/883/0/113/il/15d837/3515430949/il_340x270.3515430949_8q36.jpg
